timestamp,gyro_x,gyro_y,gyro_z
11.228,3.366,2.687,0.511
11.244,3.481,2.366,0.618
11.260,3.603,2.527,0.511
11.276,3.412,2.206,0.763
11.293,3.397,2.252,0.504
11.309,3.321,2.328,0.695
11.325,3.511,2.405,0.534
11.341,3.313,2.389,0.702
11.357,3.382,2.656,0.275
11.373,3.313,2.664,0.366
11.390,3.580,2.496,0.840
11.406,3.565,2.534,0.641
11.422,3.298,2.580,0.504
11.438,3.389,2.305,0.366
11.454,3.382,2.420,0.779
11.470,3.565,2.389,0.779
11.487,3.382,2.511,0.511
11.503,3.359,2.603,0.573
11.519,3.412,2.336,0.450
11.535,3.290,2.588,0.573
11.552,3.450,2.565,0.511
11.568,3.237,2.382,0.611
11.585,3.489,2.519,0.618
11.601,3.374,2.511,0.466
11.617,3.176,2.580,0.771
11.634,3.656,2.565,0.672
11.650,3.206,2.534,0.679
11.666,3.229,2.435,0.641
11.682,3.412,2.664,0.328
11.698,3.260,2.511,0.359
11.715,3.168,2.443,0.351
11.731,3.183,2.397,0.534
11.747,3.206,2.649,0.534
11.763,3.466,2.427,0.405
11.779,3.534,2.687,0.466
11.795,3.366,2.374,0.489
11.812,3.550,2.405,0.450
11.828,3.427,2.656,0.702
11.844,3.252,2.511,0.695
11.860,3.527,2.504,0.435
11.877,3.763,2.672,0.260
11.893,3.313,2.649,0.489
11.909,3.374,2.740,0.634
11.925,3.099,2.366,0.672
11.941,3.397,2.595,0.557
11.957,3.176,2.321,0.695
11.974,3.519,2.672,0.595
11.990,3.534,2.458,0.328
12.006,3.229,2.321,0.702
12.022,3.565,2.443,0.664
12.039,3.679,2.504,0.481
12.055,3.496,2.466,0.733
12.071,3.435,2.664,0.519
12.087,3.252,2.725,0.496
12.104,3.481,2.290,0.557
12.120,3.511,2.344,0.534
12.136,3.298,2.710,0.382
12.152,3.191,2.466,0.458
12.169,3.527,2.443,0.740
12.185,3.595,2.198,0.511
12.201,3.221,2.427,0.588
12.217,3.344,2.588,0.870
12.234,3.298,2.740,0.748
12.250,3.466,2.565,0.366
12.266,3.206,2.511,0.511
12.282,3.183,2.389,0.542
12.298,3.321,2.466,0.550
12.315,3.237,2.305,0.672
12.331,3.305,2.557,0.580
12.347,3.435,2.511,0.489
12.363,3.504,2.321,0.611
12.380,3.344,2.641,0.221
12.396,3.351,2.588,0.618
12.412,3.504,2.557,0.794
12.428,3.420,2.405,0.450
12.444,3.313,2.702,0.786
12.461,3.115,2.496,0.450
12.477,3.344,2.351,0.649
12.493,3.267,2.382,0.374
12.509,3.145,2.427,0.504
12.525,3.359,2.519,0.595
12.541,3.107,2.290,0.573
12.558,3.511,2.664,0.382
12.574,3.313,2.481,0.450
12.590,3.344,2.603,0.725
12.607,3.481,2.382,0.718
12.623,3.427,2.718,0.641
12.639,3.260,2.305,0.779
12.655,3.206,2.534,0.389
12.671,3.198,2.565,0.550
12.688,3.458,2.511,0.519
12.704,3.405,2.321,0.611
12.720,3.481,2.504,0.611
12.736,3.427,2.580,0.573
12.753,3.176,2.336,0.542
12.769,3.557,2.649,0.664
12.785,3.282,2.656,0.733
12.801,3.458,2.435,0.504
12.818,3.382,2.534,0.634
12.834,3.374,2.511,0.595
12.850,3.595,2.702,0.794
12.866,3.405,2.496,0.595
12.883,3.382,2.420,0.290
12.899,3.176,2.405,0.427
12.915,3.275,2.374,0.427
12.931,3.458,2.588,0.542
12.947,3.344,2.191,0.489
12.964,3.611,2.244,0.443
12.980,3.542,2.519,0.649
12.996,3.458,2.519,0.672
13.012,3.443,2.527,0.817
13.028,3.321,2.664,0.344
13.045,3.229,2.481,0.420
13.061,3.427,2.481,0.893
13.077,3.374,2.626,0.656
13.093,3.504,2.443,0.458
13.109,3.397,2.473,0.466
13.126,3.603,2.519,0.382
13.142,3.351,2.611,0.748
13.158,3.298,2.702,0.443
13.174,3.450,2.435,0.229
13.190,3.206,2.359,0.641
13.207,3.366,2.473,0.511
13.223,3.412,2.412,0.542
13.239,3.366,2.130,0.534
13.256,3.206,2.534,0.733
